date_tweeted,author_handle,date_tweeted,day_of_week,followers,following,hour,in_reply_to,text,twitter_id,reply_time
2017-09-29 10:37:47-07:00,SmashesApples,2017-09-29 10:37:47-07:00,Friday,9,47,10,,@AirbnbHelp We left our booking after the scariest/sketchiest check in ever. Why don't you have a customer service number!? #noplacetostay,913820114327425025,4.71666666667
2017-09-29 10:32:48-07:00,Schr0dingersKat,2017-09-29 10:32:48-07:00,Friday,1190,1636,10,,RT @zehavoc: Dear @AirbnbHelp how come my last flat research appears on my @facebook page although I only registered with gmail ?,913818859022434304,0.0
2017-09-29 10:32:46-07:00,mdlhx,2017-09-29 10:32:46-07:00,Friday,244,571,10,913814560829792257,@zehavoc @AirbnbHelp @facebook The same happened to me and it creeped me out as well. Tell me what they say!!,913818849576923139,0.0
2017-09-29 10:22:55-07:00,Sequined_Sinner,2017-09-29 10:22:55-07:00,Friday,81,292,10,913801022480535554,@AirbnbHelp Amanda is working her magic for us - let's hope she can come THRUUUUU XXXOOOO,913816369996746754,7.63333333333
2017-09-29 10:21:53-07:00,IgorCarron,2017-09-29 10:21:53-07:00,Friday,4167,3487,10,,RT @zehavoc: Dear @AirbnbHelp how come my last flat research appears on my @facebook page although I only registered with gmail ?,913816111493341184,0.0
2017-09-29 10:18:32-07:00,evawubbe,2017-09-29 10:18:32-07:00,Friday,129,446,10,913809331614863360,@AirbnbHelp Sorry I was wrong @AirbnbHelp,913815267066744832,5.5
2017-09-29 10:16:38-07:00,zehavoc,2017-09-29 10:16:38-07:00,Friday,891,574,10,913814676995235846,@combatbb @AirbnbHelp @facebook indeed.,913814790862249984,0.0
2017-09-29 10:16:11-07:00,combatbb,2017-09-29 10:16:11-07:00,Friday,1555,1837,10,913814201956782083,@zehavoc @AirbnbHelp @facebook #malaise,913814676995235846,0.0
2017-09-29 10:15:43-07:00,zehavoc,2017-09-29 10:15:43-07:00,Friday,891,574,10,913814480060125184,@AirbnbHelp @facebook This is super creepy.,913814560829792257,0.0
2017-09-29 10:15:24-07:00,zehavoc,2017-09-29 10:15:24-07:00,Friday,891,574,10,913814201956782083,@AirbnbHelp @facebook knowing I've set up ghostery at its maximum privacy level.,913814480060125184,0.0
2017-09-29 10:14:18-07:00,zehavoc,2017-09-29 10:14:18-07:00,Friday,891,574,10,,Dear @AirbnbHelp how come my last flat research appears on my @facebook page although I only registered with gmail ?,913814201956782083,2.51666666667
2017-09-29 09:53:17-07:00,evawubbe,2017-09-29 09:53:17-07:00,Friday,129,446,9,,@AirbnbHelp there has been a wrong credit from my creditcard. Could you please get back to me asap?,913808913753083905,1.66666666667
2017-09-29 09:51:31-07:00,msully1117,2017-09-29 09:51:31-07:00,Friday,357,734,9,913808146262560768,@AirbnbHelp DM sent,913808471379890177,4.11666666667
2017-09-29 09:46:40-07:00,msully1117,2017-09-29 09:46:40-07:00,Friday,357,734,9,,"@AirbnbHelp trying to make booking for week, customer support said issue with my account and set up ticket, haven't heard anything in days!",913807249998598144,3.56666666667
2017-09-29 09:24:44-07:00,Neeringcarolin1,2017-09-29 09:24:44-07:00,Friday,0,1,9,,@AirbnbHelp Please  get in touch with me about a false profile! We had contact through Facebook https://t.co/2aJ1fZkolN,913801730445516802,11.4833333333
2017-09-29 09:24:19-07:00,sam520321,2017-09-29 09:24:19-07:00,Friday,0,0,9,,"@AirbnbHelp I want to make a reservation, but when I clicked ""Book"", something wrong happened.. https://t.co/0DsvzFc4vs",913801625722011653,8.25
2017-09-29 09:23:06-07:00,iamyuvi27,2017-09-29 09:23:06-07:00,Friday,897,1365,9,,@AirbnbHelp Please get in touch with me ASAP. Please check Direct message.,913801317843439621,12.3166666667
2017-09-29 09:11:59-07:00,Kat_Krieger,2017-09-29 09:11:59-07:00,Friday,66,201,9,913795467657523201,@AirbnbHelp My case manager was rude. I was worried about the guests booked after us. This happened several times b… https://t.co/4dKK11PlW4,913798520381067264,5.81666666667
2017-09-29 08:57:24-07:00,karenobrist,2017-09-29 08:57:24-07:00,Friday,332,428,8,,RT @Kat_Krieger: @AirbnbHelp @Airbnb customer rep doesn't care about future bookings. Hope you don't get cancelled on #idea pattern #Gail #…,913794850004307970,0.0
2017-09-29 08:57:22-07:00,karenobrist,2017-09-29 08:57:22-07:00,Friday,332,428,8,,RT @Kat_Krieger: @AirbnbHelp @Airbnb how are you going to deal with future guests who have same problem with host? My rep didn't seem to ca…,913794842408386561,0.0
2017-09-29 08:57:19-07:00,karenobrist,2017-09-29 08:57:19-07:00,Friday,332,428,8,,RT @Kat_Krieger: @AirbnbHelp @Airbnb other guests should never have to deal with this. Host has cancelled on last 5 bookings. Why not infor…,913794830186303488,0.0
2017-09-29 08:57:17-07:00,karenobrist,2017-09-29 08:57:17-07:00,Friday,332,428,8,,"RT @Kat_Krieger: @AirbnbHelp @airbnb when I mentioned the other guests staying at this place soon, customer rep said not to worry #thiskeep…",913794822154186752,0.0
2017-09-29 08:57:15-07:00,karenobrist,2017-09-29 08:57:15-07:00,Friday,332,428,8,,RT @Kat_Krieger: Horrible customer service @AirbnbHelp but what should I expect when the host cancels 6 days ahead of reservation? #neverag…,913794812599513089,0.0
